,Timestamp,Age,Gender,City,Seniority level,Position,Years of experience,Your main technology / programming language,Salary,Yearly bonus,Yearly stocks,Yearly brutto salary (without bonus and stocks) one year ago. Only answer if staying in same country,Yearly bonus one year ago. Only answer if staying in same country,Yearly stocks one year ago. Only answer if staying in same country,Number of vacation days,Number of home office days per month,Main language at work,Company name ,Company size,Company type,Сontract duration,Company business sector,0
0,02.12.2019 11:18:26,33.0,Male,Berlin,Senior,Fullstack Developer,13,PHP,64000.0,1000.0,,58000.0,1000.0,,29.0,4.0,English,,50-100,Startup,unlimited,Tourism,
1,02.12.2019 11:18:35,29.0,Male,Berlin,Middle,Backend Developer,3,Python,55000.0,5000.0,,55000.0,,,22.0,4.0,English,,10-50,Product,unlimited,Scientific Activities,
2,02.12.2019 11:18:56,32.0,Male,Berlin,Middle,Mobile Developer,4,Kotlin,70000.0,5000.0,,55000.0,,,27.0,,English,,1000+,Startup,unlimited,Others,
3,02.12.2019 11:19:08,30.0,Male,Berlin,Senior,Backend Developer,6,PHP,63000.0,5000.0,,,,,24.0,,English,Auto1,100-1000,Product,unlimited,Transport,
4,02.12.2019 11:19:37,32.0,Male,Berlin,Senior,Embedded Developer,10,C/C++,66000.0,5000.0,,56000.0,,,30.0,0.0,English,Luxoft,50-100,Product,unlimited,Automotive,
5,02.12.2019 11:20:30,33.0,Male,Berlin,Middle,Machine Learning Engineer,11,Python,80000.0,5000.0,,75000.0,,,27.0,5.0,English,Zalando,1000+,Product,unlimited,Сommerce,
6,02.12.2019 11:21:26,34.0,Male,Berlin,Senior,Backend Developer,12,Java,85000.0,5000.0,,76000.0,,,25.0,,English,,50-100,Startup,unlimited,Others,
7,02.12.2019 11:21:31,38.0,Male,Berlin,Head,Manager,15,Not Relevant,81000.0,4000.0,,75000.0,,,30.0,10.0,Deutsch,,100-1000,Product,unlimited,Automotive,
8,02.12.2019 11:21:38,32.0,Male,Berlin,Lead,Mobile Developer,8,Swift,66000.0,5000.0,,63000.0,,,28.0,15.0,English,,100-1000,Product,unlimited,Coaching ,
9,02.12.2019 11:21:52,29.0,Male,Berlin,Senior,Mobile Developer,7,Kotlin,65000.0,5000.0,,54000.0,,,26.0,4.0,English,Bonial International GmbH,100-1000,Product,unlimited,Сommerce,
10,02.12.2019 11:21:55,27.0,Male,Berlin,Middle,Fullstack Developer,7,Javascript / Typescript,63000.0,5000.0,,60000.0,,,28.0,1.0,English,,10-50,Startup,unlimited,Finance / Insurance,
11,02.12.2019 11:22:36,31.0,Male,Berlin,Senior,Backend Developer,8,Go,65000.0,5000.0,,,,,26.0,,English,Football app,100-1000,Product,6 months,Gaming,
12,02.12.2019 11:22:43,23.0,Male,Berlin,Senior,DevOps,6,AWS,83000.0,5000.0,,63000.0,,,30.0,1.0,English,Digital service for one-man-business craftsmen,10-50,Startup,unlimited,Manufacture,
13,02.12.2019 11:23:23,27.0,Male,Berlin,Senior,"Designer (UI, UX)",9,Not Relevant,66000.0,5500.0,,52000.0,10400.0,,30.0,0.0,English,Koerber Digital,100-1000,Product,unlimited,Manufacture,
14,02.12.2019 11:23:31,33.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,70000.0,5000.0,,68000.0,,,40.0,10.0,English,,10-50,Startup,unlimited,Customer Support,
15,02.12.2019 11:24:20,32.0,Male,Berlin,Senior,Backend Developer,7,Java,80000.0,5000.0,,62000.0,5000.0,,26.0,4.0,English,,100-1000,Startup,unlimited,Transport,
16,02.12.2019 11:24:53,31.0,Male,Berlin,Middle,Mobile Developer,6,Swift,72000.0,5000.0,,70000.0,,,27.0,0.0,English,Omio,100-1000,Product,unlimited,Сommerce,
17,02.12.2019 11:24:54,34.0,Male,Berlin,Senior,Backend Developer,10,Java,87000.0,5000.0,,,,,28.0,,English,,50-100,Product,unlimited,Advertising,
18,02.12.2019 11:25:24,33.0,Male,Berlin,Senior,DevOps,12,Kubernetes,90000.0,5000.0,,84000.0,,,30.0,,English,,1000+,Product,unlimited,Сommerce,
19,02.12.2019 11:25:36,31.0,Male,Berlin,Senior,Data Scientist,6,Python,78000.0,5000.0,,76000.0,,,,,English,,1000+,Product,unlimited,Сommerce,
20,02.12.2019 11:25:49,24.0,Male,Berlin,Middle,Machine Learning Engineer,2,C/C++,70000.0,5000.0,,70000.0,,,30.0,,English,,10-50,Startup,unlimited,Health,
21,02.12.2019 11:26:09,28.0,Male,Hamburg,Senior,Backend Developer,7,PHP,55000.0,5000.0,,,,,25.0,0.0,English,,100-1000,Product,unlimited,Сommerce,
22,02.12.2019 11:27:04,32.0,Male,Frankfurt,Senior,DevOps,12,Not Relevant,160000.0,5000.0,,,,,,,Deutsch,,1000+,Product,,Others,
23,02.12.2019 11:27:41,27.0,Male,Berlin,Senior,Data Engineer,5,Python,75000.0,5000.0,,,,,30.0,0.0,English,New Yorker,1000+,Product,unlimited,Fashion,
24,02.12.2019 11:30:24,32.0,Male,Berlin,Senior,DevOps,13,Not Relevant,60000.0,6000.0,,60000.0,6000.0,,24.0,,English,,50-100,Product,unlimited,IoT,
25,02.12.2019 11:30:34,32.0,Male,Berlin,Senior,DevOps,7,AWS,72000.0,5000.0,,72000.0,,,24.0,3.0,English,Lieferando,1000+,Product,unlimited,Catering,
26,02.12.2019 11:31:32,38.0,Male,Berlin,Senior,Backend Developer,16,Ruby,80000.0,5000.0,,75000.0,,,24.0,20.0,English,Germany,up to 10,Product,unlimited,Finance / Insurance,
27,02.12.2019 11:31:55,32.0,Male,Munich,Others,Data Scientist,7,Python,85000.0,7000.0,,85000.0,7000.0,,30.0,,English,,10-50,Consulting / Agency,unlimited,Сommerce,
28,02.12.2019 11:32:46,31.0,Male,Berlin,Senior,QA,9,Java,67000.0,4000.0,,,,,20.0,4.0,English,,100-1000,Product,unlimited,Automotive,
29,02.12.2019 11:32:52,31.0,Male,Berlin,Senior,Backend Developer,8,PHP,60000.0,5000.0,,60000.0,,,24.0,0.0,English,Auto1,100-1000,Product,unlimited,Сommerce,
30,02.12.2019 11:32:59,32.0,Male,Berlin,Senior,Software Architect,13,Java,78600.0,5000.0,,78600.0,,,30.0,,English,,100-1000,Product,unlimited,Marketing,
31,02.12.2019 11:36:20,44.0,Male,Berlin,Senior,Backend Developer,20,.NET,60000.0,5000.0,,60000.0,,,30.0,5.0,Deutsch,,50-100,Consulting / Agency,unlimited,Others,
32,02.12.2019 11:37:44,26.0,Male,Berlin,Others,Backend Developer,6,PHP,65000.0,5000.0,,,,,,,English,,100-1000,Startup,,Finance / Insurance,
33,02.12.2019 11:37:53,31.0,Male,Berlin,Senior,Backend Developer,7,PHP,60000.0,5000.0,,50000.0,,,26.0,20.0,English,,10-50,Product,unlimited,Сommerce,
34,02.12.2019 11:39:53,36.0,Male,Berlin,Senior,Backend Developer,11,PHP,65000.0,6500.0,10000.0,60000.0,,,28.0,,English,,1000+,Product,unlimited,Сommerce,
